case,matches_stored,nested_ok,omitted_vox_p0.1,omitted_vox_p0.3,omitted_vox_p0.5
PARSE_0001.nii.gz,True,True,10160,23546,34126
PARSE_0002.nii.gz,True,True,7428,22014,34130
PARSE_0003.nii.gz,True,True,2712,11987,25293
PARSE_0004.nii.gz,True,True,973,11956,19607
PARSE_0005.nii.gz,True,True,8306,19863,29088
PARSE_0006.nii.gz,True,True,3375,13898,25476
PARSE_0007.nii.gz,True,True,3751,11947,21262
PARSE_0008.nii.gz,True,True,9196,20959,27930
PARSE_0009.nii.gz,True,True,2344,15560,27702
PARSE_0010.nii.gz,True,True,2559,17897,32675
PARSE_0011.nii.gz,True,True,15080,25660,38787
PARSE_0012.nii.gz,True,True,3958,9394,21196
PARSE_0013.nii.gz,True,True,5650,19399,30190
PARSE_0014.nii.gz,True,True,5620,11582,20392
PARSE_0015.nii.gz,True,True,6625,18725,33173
PARSE_0016.nii.gz,True,True,3692,21383,41586
PARSE_0017.nii.gz,True,True,7937,32295,65551
PARSE_0018.nii.gz,True,True,5187,14875,21677
PARSE_0019.nii.gz,True,True,10359,24912,43744
PARSE_0020.nii.gz,True,True,9607,18629,32407
PARSE_0021.nii.gz,True,True,5803,15650,30924
PARSE_0022.nii.gz,True,True,7383,21966,34364
PARSE_0023.nii.gz,True,True,5203,17744,31285
PARSE_0024.nii.gz,True,True,15554,35021,54556
PARSE_0025.nii.gz,True,True,8163,26794,38360
PARSE_0026.nii.gz,True,True,7030,19657,34080
PARSE_0027.nii.gz,True,True,13856,35175,51088
PARSE_0028.nii.gz,True,True,3491,14734,17632
PARSE_0029.nii.gz,True,True,11745,26611,44850
PARSE_0030.nii.gz,True,True,5479,21745,33520
PARSE_0031.nii.gz,True,True,8322,17623,32309
PARSE_0032.nii.gz,True,True,11184,28960,48831
PARSE_0033.nii.gz,True,True,4823,16622,25439
PARSE_0034.nii.gz,True,True,8277,21861,36855
PARSE_0035.nii.gz,True,True,4538,22388,37445
PARSE_0036.nii.gz,True,True,5441,16162,31158
PARSE_0037.nii.gz,True,True,5329,15784,26848
PARSE_0038.nii.gz,True,True,3888,15551,22519
PARSE_0039.nii.gz,True,True,7133,22195,31992
PARSE_0040.nii.gz,True,True,6774,17721,37441
PARSE_0041.nii.gz,True,True,4897,22789,35351
PARSE_0042.nii.gz,True,True,8578,19660,38031
PARSE_0043.nii.gz,True,True,5536,17347,27720
PARSE_0044.nii.gz,True,True,6262,18720,33277
PARSE_0045.nii.gz,True,True,5458,14908,31105
PARSE_0046.nii.gz,True,True,3908,10341,14987
PARSE_0047.nii.gz,True,True,8993,29517,38597
PARSE_0048.nii.gz,True,True,3474,12848,25489
PARSE_0049.nii.gz,True,True,6166,17665,32855
PARSE_0050.nii.gz,True,True,9752,29867,53770
PARSE_0051.nii.gz,True,True,11543,36145,60962
PARSE_0052.nii.gz,True,True,12176,28816,42205
PARSE_0053.nii.gz,True,True,12470,30632,61736
PARSE_0054.nii.gz,True,True,4666,24222,48422
PARSE_0055.nii.gz,True,True,12121,27314,41460
PARSE_0056.nii.gz,True,True,13262,39031,62917
PARSE_0057.nii.gz,True,True,11146,24290,38873
PARSE_0058.nii.gz,True,True,1949,18999,36187
PARSE_0059.nii.gz,True,True,5617,30772,40455
PARSE_0060.nii.gz,True,True,7998,24152,38018
PARSE_0061.nii.gz,True,True,5649,17160,35075
PARSE_0062.nii.gz,True,True,1709,12402,18465
PARSE_0063.nii.gz,True,True,7211,24848,41515
PARSE_0064.nii.gz,True,True,7722,20759,39828
PARSE_0065.nii.gz,True,True,8234,15509,24292
PARSE_0066.nii.gz,True,True,3936,15191,26398
PARSE_0067.nii.gz,True,True,2174,17430,27526
PARSE_0068.nii.gz,True,True,3321,20928,29208
PARSE_0069.nii.gz,True,True,5453,18272,25417
PARSE_0070.nii.gz,True,True,9603,31305,49446
PARSE_0071.nii.gz,True,True,10395,23515,45045
PARSE_0072.nii.gz,True,True,9701,32942,55879
PARSE_0073.nii.gz,True,True,7313,18451,24872
PARSE_0074.nii.gz,True,True,9725,27606,44194
PARSE_0075.nii.gz,True,True,6372,21775,38334
PARSE_0076.nii.gz,True,True,5657,14324,29305
PARSE_0077.nii.gz,True,True,7041,18575,32937
PARSE_0078.nii.gz,True,True,12400,30729,41088
PARSE_0079.nii.gz,True,True,6279,30084,47742
PARSE_0080.nii.gz,True,True,10513,17999,27543
PARSE_0081.nii.gz,True,True,13536,33558,52997
PARSE_0082.nii.gz,True,True,3539,11504,20791
PARSE_0083.nii.gz,True,True,5107,19322,38555
PARSE_0084.nii.gz,True,True,8990,20028,33937
PARSE_0085.nii.gz,True,True,7005,23147,36293
